"Vintage","st_hosp_prcp","st_apuc_prcp","st_helena_prcp","prcp_avg","st_hosp_gdd","st_apuc_gdd","st_helena_gdd","gdd_avg","Location","Variety","R1_WS","R2_WE","Notes"
1991,3121.8,5674.4,3240.7,4012.3,1386.5,1372.125,1641.6,1466.74166666667,"Napa","Cabernet",91,NA,NA
1992,5347.9,10729.8,5269.2,7115.63333333333,1664.4,1628.4,1535.775,1609.525,"Napa","Cabernet",93,NA,NA
1993,13397.8,22411.2,16859.3,17556.1,1590.65,1416.9,1809.735,1605.76166666667,"Napa","Cabernet",88,NA,NA
1994,11285.6,12564.6,14582,12810.7333333333,1516.7,1458.55,1723.025,1566.09166666667,"Napa","Cabernet",97,NA,NA
1995,18490.3,26476.7,18542.4,21169.8,1581.45,1384.6,1747.3,1571.11666666667,"Napa","Cabernet",97,NA,NA
1996,30253.2,35817.4,27432.4,31167.6666666667,1581.55,1672.95,1912.325,1722.275,"Napa","Cabernet",96,NA,NA
1997,6606.9,8327.1,5672.4,6868.8,1740.5,1615,2016.175,1790.55833333333,"Napa","Cabernet",99,NA,NA
1998,17504.7,39403.4,16803.8,24570.6333333333,1544.2,1413.5,1220.375,1392.69166666667,"Napa","Cabernet",84,NA,NA
1999,13363,14797.1,14031.8,14063.9666666667,1466.05,1402.5,1590.8,1486.45,"Napa","Cabernet",97,NA,NA
2000,13208.9,19489.7,12620.1,15106.2333333333,1669.95,1554.75,1818.9,1681.2,"Napa","Cabernet",85,NA,NA
2001,2722.2,8904.4,2895.9,4840.83333333333,1658.4,1649.15,1819.85,1709.13333333333,"Napa","Cabernet",93,NA,NA
2002,5514.6,6597.7,5078.9,5730.4,1617.55,1528.35,1753.085,1632.995,"Napa","Cabernet",93,NA,NA
2003,24540.2,30770.8,37117.4,30809.4666666667,1662.65,1550.975,1758.5,1657.375,"Napa","Cabernet",85,NA,NA
2004,1808.8,552,3014.1,1791.63333333333,1741.1,1433.75,1858,1677.61666666667,"Napa","Cabernet",95,NA,NA
2005,18183.5,32716.9,25050.7,25317.0333333333,1545,1474.3,1679.125,1566.14166666667,"Napa","Cabernet",92,NA,NA
2006,29706.9,28348.8,28873.3,28976.3333333333,1679.3,1309.3,1809.71,1599.43666666667,"Napa","Cabernet",95,NA,NA
2007,6761.5,10104.4,7019.3,7961.73333333333,1671.375,1529.05,1834.475,1678.3,"Napa","Cabernet",97,NA,NA
2008,1032.8,1823.4,1443.8,1433.33333333333,1697.4,1647.5,1845.26,1730.05333333333,"Napa","Cabernet",96,NA,NA
2009,10104.5,15997.8,9948,12016.7666666667,1683.55,1499.25,1469.575,1550.79166666667,"Napa","Cabernet",96,NA,NA
2010,20829.1,32833.1,31905.9,28522.7,1453.625,1247.25,1594.75,1431.875,"Napa","Cabernet",96,NA,NA
