Vintage,Location,Variety,R1_WS,R2_WE,R3_WA,Avg_Rank,Descriptions_WS_WA,Notes
2018,Oregon,Pinot Noir,93,,,93,"Mid-september showers revived vines stressed by a warm, arid summer, laying the groundwork for excellent wines",
2017,Oregon,Pinot Noir,95,,90,92.5,"A cold, rainy spring and hot, dry summer led to potentially angular wines, but quality in generally high",
2016,Oregon,Pinot Noir,97,,94,95.5,"Early and warm vintage with pockets of cool weather in summer, lending balance and elegance",
2015,Oregon,Pinot Noir,95,,93,94,Large clusters helped to balance a hot vintage toward elegance,
2014,Oregon,Pinot Noir,96,,92,94,A very large grop was able to attain balance in a hot vintage,
2013,Oregon,Pinot Noir,90,,87,88.5,"Rain turned a very ripe year into a light, uneven vintage",
2012,Oregon,Pinot Noir,97,,92,94.5,Ideal conditions produced generous wines; not over the top,
2011,Oregon,Pinot Noir,85,,90,87.5,"Light, bordering on fragile; tantalizing if flavorful enough",
2010,Oregon,Pinot Noir,94,,88,91,"Best have real ripeness and depth, with modest alcohol",
2009,Oregon,Pinot Noir,90,,86,88,"Supple structures, bold flavors",
2008,Oregon,Pinot Noir,96,,94,95,"Perfect balance of light textures and rich, vivid flavors",
2007,Oregon,Pinot Noir,84,,84,84,"Delicate wines; some can benefit from cellaring, others weak",
2006,Oregon,Pinot Noir,92,,91,91.5,"Ripe flavors, but fruit character mostly fresh, not dried",
2005,Oregon,Pinot Noir,93,,85,89,"Like 2004, wines are superbly balanced",
2004,Oregon,Pinot Noir,93,,86,89.5,"clear, pure flavors and excellent balance",
2003,Oregon,Pinot Noir,87,,88,87.5,"some great wines, but others are overripe",
2002,Oregon,Pinot Noir,95,,92,93.5,"Extraordinary balance, pure flavors; some great wines",
2001,Oregon,Pinot Noir,91,,85,88,"many elegant wines, but others reflect excessive yields",
2000,Oregon,Pinot Noir,90,,86,88,"many intesnse wines, but beware those caught in late-season rain",
1999,Oregon,Pinot Noir,93,,92,92.5,"Brilliantly flavorful, focused wines",
1998,Oregon,Pinot Noir,92,,89,90.5,"Rich, classic wines; few poor bottle, some are tannic",
1997,Oregon,Pinot Noir,,,87,87,,
1996,Oregon,Pinot Noir,,,83,83,,
1995,Oregon,Pinot Noir,,,76,76,,
1994,Oregon,Pinot Noir,,,92,92,,
1993,Oregon,Pinot Noir,,,89,89,,
1992,Oregon,Pinot Noir,,,88,88,,
1991,Oregon,Pinot Noir,,,87,87,,
1990,Oregon,Pinot Noir,,,90,90,,
1989,Oregon,Pinot Noir,,,86,86,,
1988,Oregon,Pinot Noir,,,88,88,,
1987,Oregon,Pinot Noir,,,72,72,,
1986,Oregon,Pinot Noir,,,85,85,,
1985,Oregon,Pinot Noir,,,87,87,,
1984,Oregon,Pinot Noir,,,65,65,,
1983,Oregon,Pinot Noir,,,90,90,,
1982,Oregon,Pinot Noir,,,84,84,,
1981,Oregon,Pinot Noir,,,86,86,,
1980,Oregon,Pinot Noir,,,86,86,,
