"Vintage","st_helena_prcp","st_hosp_prcp","prcp_avg","st_helena_gdd","st_hosp_gdd","gdd_avg","Location","Variety","R1_WS","R2_WE","R3_WA","Descriptions_WS_WA","Notes"
1991,3240.7,3121.8,3181.25,1641.6,1386.5,1514.05,"Napa","Cabernet",91,NA,NA,"Big crop, ripe and complex; a star early on, only to be eclipsed by others this decade",NA
1992,5616.875,5347.9,5482.3875,1535.775,1664.4,1600.0875,"Napa","Cabernet",93,NA,NA,"Fine growing season led to uniformly rich, fleshy, supple and balanced wines",NA
1993,18078.625,13397.8,15738.2125,1807.7375,1590.65,1699.19375,"Napa","Cabernet",88,NA,NA,"Just off the pace, with well-balanced, supple wines; a few stars",NA
1994,14582,11285.6,12933.8,1723.025,1516.7,1619.8625,"Napa","Cabernet",97,NA,NA,"A showy year all around; ripe, complex and fleshy, with excellent depth",NA
1995,18542.4,18490.3,18516.35,1747.3,1581.45,1664.375,"Napa","Cabernet",97,NA,NA,"Surprisingly fine year, with wines marked by great flavors, balance and structure",NA
1996,27432.4,30253.2,28842.8,1912.325,1581.55,1746.9375,"Napa","Cabernet",96,NA,NA,"A sleeper, with a remarkable number of compelling wines; warm year with fine concentration and depth",NA
1997,5672.4,6606.9,6139.65,2016.175,1740.5,1878.3375,"Napa","Cabernet",99,NA,NA,"Huge crop of ripe, opulent, fleshy, concentrated wines, from near-perfect weather; super in Sonoma, too",NA
1998,19381.7,17504.7,18443.2,1220.375,1544.2,1382.2875,"Napa","Cabernet",84,NA,NA,"Cool, damp year with mostly green, herbal wines marked by gritty tannins; few memorable bottles",NA
1999,14031.8,13363,13697.4,1590.8,1466.05,1528.425,"Napa","Cabernet",97,NA,NA,"Tremendous depth, concentration and structure from a cool, moderate year; ageworthy",NA
2000,12620.1,13208.9,12914.5,1818.9,1669.95,1744.425,"Napa","Cabernet",85,NA,NA,"Mixed and a bit green overall, but some stellar wines that may be overlooked and undervalued",NA
2001,2895.9,2722.2,2809.05,1819.85,1658.4,1739.125,"Napa","Cabernet",93,NA,NA,"Excellent weather; many stunning wines but also a few disappointments",NA
2002,5584.2,5514.6,5549.4,1752.6,1617.55,1685.075,"Napa","Cabernet",93,NA,NA,"Superb in Napa; dense and rich, rivaling 2001 for depth and complexity",NA
2003,37117.4,24540.2,30828.8,1758.5,1662.65,1710.575,"Napa","Cabernet",85,NA,NA,"Uneven ripeness; austere and tannic in style. More like 2000 than 2001 or 2002",NA
2004,3014.1,1808.8,2411.45,1822.2225,1741.1,1781.66125,"Napa","Cabernet",95,NA,NA,"Small crop of exceptional quality; ripe, elegant, concentrated and harmonious",NA
2005,26352.7,18183.5,22268.1,1696.21785714286,1545,1620.60892857143,"Napa","Cabernet",92,NA,NA,"Record-size crop; best are elegant and balanced, yet many are tannic and drying out",NA
2006,28873.3,29706.9,29290.1,1804.06666666667,1679.3,1741.68333333333,"Napa","Cabernet",95,NA,NA,"A late, cool harvest produced dense, concentrated and ageworthy wines",NA
2007,7019.3,6761.5,6890.4,1834.475,1671.375,1752.925,"Napa","Cabernet",97,NA,NA,"Textbook year; small crop, ideal ripening, wines defined by complexity and plush tannins",NA
2008,1443.8,1032.8,1238.3,1840.87,1697.4,1769.135,"Napa","Cabernet",96,NA,NA,"Frost year lowered yields but not quality; unique for its depth and concentration",NA
2009,9948,10104.5,10026.25,1465.045,1683.55,1574.2975,"Napa","Cabernet",96,NA,NA,"Late, cool year yielding a surprise bounty of pure, opulent wines",NA
2010,31905.9,20829.1,26367.5,1594.75,1453.625,1524.1875,"Napa","Cabernet",96,NA,NA,"Cool, steady year; wines show exceptional quality, tight, dense and layered",NA
2011,19333.6916666667,17815.0666666667,18574.3791666667,1650.5,1501.7,1576.1,"Napa","Cabernet",86,NA,NA,"Rare rainy harvest proved it can happen; few sunny spots, variable quality",NA
2012,15449.8042857143,10815.1,13132.4521428571,1749.5,1578.9,1664.2,"Napa","Cabernet",96,NA,NA,"The first of California’s drought-influenced run and a welcome return to warm, dry conditions following the rain-marred 2011 season. Record-sized crop with many stars; a solid vintage across the board marked by a tannic spine that will age well",NA
2013,6994.9,8525,7759.95,1940.5,1759.25,1849.875,"Napa","Cabernet",97,NA,NA,"Practically a flawless growing season, with moderate temperatures throughout and no heat spikes or rain. Earliest harvest in 25 years started in August, but Indian summer conditions allowed growers to pick blocks as they wanted through late October. Wines brim with fruit and structure. A no-brainer benchmark",NA
