"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS","year","month","day"
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-01",0.02,53,61,45,48,1995,3,1
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-02",0.33,54.5,61,48,53,1995,3,2
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-03",0.65,52.5,58,47,48,1995,3,3
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-04",0,47.5,58,37,45,1995,3,4
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-05",0.02,51.5,57,46,48,1995,3,5
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-06",0,49.5,63,36,50,1995,3,6
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-07",0.05,48.5,63,34,38,1995,3,7
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-08",0,47,56,38,54,1995,3,8
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-09",3.69,52.25,63,NA,60,1995,3,9
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-10",0.98,57.5,61,54,60,1995,3,10
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-11",0.66,56.5,62,51,53,1995,3,11
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-12",0.21,52.5,62,43,47,1995,3,12
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-13",0.39,53,55,51,55,1995,3,13
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-14",1.03,57,63,51,58,1995,3,14
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-15",0.43,50.5,64,37,61,1995,3,15
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-16",0,55,66,44,49,1995,3,16
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-17",0,54,64,44,NA,1995,3,17
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-18",0.37,56.5,67,46,53,1995,3,18
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-19",0.03,51.5,59,44,46,1995,3,19
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-20",0.56,52,58,46,54,1995,3,20
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-21",0.5,47,53,41,45,1995,3,21
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-22",1.25,47.5,53,42,51,1995,3,22
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-23",0.71,47,55,39,42,1995,3,23
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-24",0.1,47.5,59,36,44,1995,3,24
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-25",0,51.5,63,40,45,1995,3,25
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-26",0,51.5,68,35,42,1995,3,26
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-27",0,53.5,69,38,44,1995,3,27
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-28",0,55.5,74,37,51,1995,3,28
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-29",0,57.5,75,40,48,1995,3,29
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-30",0,55.5,73,38,46,1995,3,30
"USC00046826","PETALUMA AIRPORT, CA US","1995-03-31",0,56.5,73,40,46,1995,3,31
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-01",0,52,64,40,51,1995,4,1
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-02",0,59,74,44,69,1995,4,2
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-03",0,55.5,68,43,45,1995,4,3
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-04",0,56.5,69,44,64,1995,4,4
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-05",0,55.5,66,45,52,1995,4,5
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-06",0.03,58,60,56,56,1995,4,6
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-07",0.15,57,61,53,54,1995,4,7
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-08",0.16,49,59,39,42,1995,4,8
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-09",0,51.5,63,40,43,1995,4,9
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-10",0,52.5,66,39,45,1995,4,10
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-11",0,56,68,44,48,1995,4,11
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-12",0,56,62,50,53,1995,4,12
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-13",0.22,54,61,47,50,1995,4,13
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-14",0,50.5,61,40,44,1995,4,14
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-15",0,51,NA,38,46,1995,4,15
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-16",0.23,51.5,63,40,42,1995,4,16
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-17",0.02,49,55,43,47,1995,4,17
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-18",0.03,52,63,41,47,1995,4,18
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-19",0,49,59,39,41,1995,4,19
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-20",0.13,54.5,64,45,47,1995,4,20
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-21",0,55,70,40,47,1995,4,21
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-22",0,57,75,39,47,1995,4,22
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-23",0,60.5,79,42,46,1995,4,23
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-24",0,53.5,62,45,46,1995,4,24
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-25",0,53.5,60,47,47,1995,4,25
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-26",0,52.5,62,43,48,1995,4,26
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-27",0.03,56.5,66,47,NA,1995,4,27
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-28",0.1,57.5,60,55,57,1995,4,28
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-29",0.24,59.5,63,56,59,1995,4,29
"USC00046826","PETALUMA AIRPORT, CA US","1995-04-30",0.01,62.5,69,56,58,1995,4,30
"USC00046826","PETALUMA AIRPORT, CA US","1995-05-01",0.94,61.5,66,57,57,1995,5,1
"USC00046826","PETALUMA AIRPORT, CA US","1995-05-02",0.07,58.5,64,53,55,1995,5,2
"USC00046826","PETALUMA AIRPORT, CA US","1995-05-03",0,57,69,45,49,1995,5,3
"USC00046826","PETALUMA AIRPORT, CA US","1995-05-04",0,54.5,65,44,47,1995,5,4
"USC00046826","PETALUMA AIRPORT, CA US","1995-05-05",0,54,63,45,52,1995,5,5
