"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS","year","month","day"
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-01",0,12.8,17.8,7.8,NA,1996,3,1
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-02",0,11.95,20,3.9,NA,1996,3,2
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-03",0.8,12.8,18.9,6.7,NA,1996,3,3
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-04",13.7,15,18.3,11.7,NA,1996,3,4
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-05",1,11.7,15.6,7.8,NA,1996,3,5
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-06",0,11.65,20,3.3,NA,1996,3,6
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-07",0,14.45,23.9,5,NA,1996,3,7
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-08",0,15.3,25.6,5,NA,1996,3,8
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-09",0,16.1,25,7.2,NA,1996,3,9
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-10",0,14.45,20.6,8.3,NA,1996,3,10
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-11",0,14.15,20,8.3,NA,1996,3,11
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-12",12.4,12.5,15.6,9.4,NA,1996,3,12
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-13",1,10.55,15,6.1,NA,1996,3,13
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-14",0,11.65,18.9,4.4,NA,1996,3,14
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-15",0,12.8,20,5.6,NA,1996,3,15
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-16",0,12.75,17.2,8.3,NA,1996,3,16
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-17",0,13.9,21.1,6.7,NA,1996,3,17
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-18",0,13.6,17.2,10,NA,1996,3,18
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-19",0,16.95,22.8,11.1,NA,1996,3,19
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-20",0,14.45,20,8.9,NA,1996,3,20
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-21",0,13.1,15.6,10.6,NA,1996,3,21
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-22",0,12.2,17.2,7.2,NA,1996,3,22
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-23",0,9.45,15.6,3.3,NA,1996,3,23
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-24",0,9.7,18.3,1.1,NA,1996,3,24
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-25",0,11.15,15.6,6.7,NA,1996,3,25
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-26",0,11.1,19.4,2.8,NA,1996,3,26
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-27",0,13.35,21.7,5,NA,1996,3,27
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-28",0.8,11.4,17.2,5.6,NA,1996,3,28
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-29",0,10.25,17.2,3.3,NA,1996,3,29
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-30",0,10.8,18.3,3.3,NA,1996,3,30
"USW00023273","SANTA MARIA PUBLIC AIRPORT, CA US","1996-03-31",0,11.7,20.6,2.8,NA,1996,3,31
