"Vintage","sono_prcp","sono_prcp_cab","sono_prcp_chard","sono_prcp_mer","sono_gdd","sono_gdd_cab","sono_gdd_chard","sono_gdd_mer"
1995,3.67,3.67,7.19,3.67,8790.75,9551.75,9470.25,9102.25
1996,5.85,6.63,6.61,6.61,8924.25,9660.5,9637.25,9219.25
1997,2.72333333333333,2.75333333333333,3.14333333333333,2.75333333333333,9230,10024,10005.5,9555.5
1998,6.71,7.78,8.36,7.78,8786.13253968254,9514.79920634921,9470.63253968254,9072.63253968254
1999,2.16,3.41,4,3.4,7110,7829,7773.5,7393.5
2000,84.08,85.43,84.08,84.08,9916.23526785714,10481.9852678571,9916.23526785714,9916.23526785714
2001,31.7,33.7,35,33.7,1233.66,1327.36,1309.11,1262.61
2002,37.8,37.8,52.8,37.8,1271.85,1386.5,1302.8,1293.65
2003,116.7,118,129.4,118,1225.8,1343.05,1276.6,1257.45
2004,12.4,33.3,26.9,26.9,1377.5,1466.55,1456.65,1402.15
2005,138.2,160,227.5,160,1167.71666666667,1233.51666666667,1196.31666666667,1175.81666666667
2006,135,189.6,216.3,189.6,1270.025,1346.625,1281.025,1275.525
2007,43,50.1,47.9,47.6,1250.9,1315.6,1299.5,1263.9
2008,6.1,12.2,11.2,11.2,1253.95,1310.1,1266.4,1258.15
2009,63.1,63.1,66.9,63.1,1184.75,1300.9,1239.45,1213.35
2010,141,154.7,154.7,154.7,1042.37166666667,1117.07166666667,1087.37166666667,1054.57166666667
2011,113.5,152.1,296,152.1,1071.45,1172.95,1093.3,1090
2012,40.6,112.3,147.7,112.3,1173.1,1237.8,1197.05,1185.4
2013,49,65,61.7,52,1301.2,1393.35,1335.8,1323.35
2014,42.7,99.4,95.8,95.8,1386.2,1482.35,1431.65,1401.7
2015,49.7,50.7,51.2,49.7,1346.6,1470.8,1423.05,1387.2
2016,34.4,34.4,44.8,34.4,1241.45,1337.55,1285,1257.25
2017,76.6,79.9,127.6,79.9,1389,1472.4,1446.2,1413.2
2018,124.5,124.8,185.5,124.8,1200.85,1282.4,1234,1223.5
