Year,prcp_avg,gdd_avg,Zinfandel_WS,Zinfandel_WE
2004,1791.633,1677.617,85,90
2005,25317.033,1566.142,91,87
2006,28976.333,1599.437,90,87
2007,7961.733,1678.3,92,94
2008,1433.333,1730.053,94,89
2009,12016.767,1550.792,92,89
2010,28522.7,1431.875,88,89
2011,17773.967,1483.233,89,89
2012,13221.833,1600.3,89,92
2013,8049.733,1742.4,91,93
2014,9395.433,1786.817,93,93
2015,7975.867,1750.05,92,93
2016,6938.2,1712.55,92,93
2017,15189.667,1823.933,90,89
2018,13861.8,1621.183,90.5,90
