Vintage,Location,Variety,R1_WS,R2_WE,R3_WA,Avg_Rank,Descriptions_WS_WA,Notes
2017,Napa,Cabernet,90.5,,,90.5,"Drought broke over the winter, with lots of vegetation and healthy vines to start the season. Good growing season turned wickedly hot in early September, with no cooling-off period, then wildfires raged in early October, raising the specter of smoke taint. Napa’s most difficult season in recent memory","WS_Napa, 89-92 (value is mean)"
2016,Napa,Cabernet,98,,,98,"The final drought-influenced vintage of the run since 2012, this time without serious heat spikes. Rockier soils and drier spots ripened first, while heavier soils allowed for longer hang time. Wines show intense fruit against the backdrop of their varying terroirs; crop still down from normal",
2015,Napa,Cabernet,94,,,94,"The fourth drought-influenced year in a row, plus a cold spell during flowering led to significantly lower yields. The smaller crop ripened quickly, though, with picking beginning in August. Quality is high but more variable than 2016 or 2013, as sugars sometimes raced ahead of phenolics",
2014,Napa,Cabernet,95,,,95,"Heavy rains in February and March gave the vines an early boost—though not enough to break the drought—and from there warm, dry conditions led to an early harvest. Quality is very consistent, with the wines showing power and depth, as well as extra aromatic range. A beautiful vintage with a distinct signature",
2013,Napa,Cabernet,97,,,97,"Practically a flawless growing season, with moderate temperatures throughout and no heat spikes or rain. Earliest harvest in 25 years started in August, but Indian summer conditions allowed growers to pick blocks as they wanted through late October. Wines brim with fruit and structure. A no-brainer benchmark",
2012,Napa,Cabernet,96,,,96,"The first of California’s drought-influenced run and a welcome return to warm, dry conditions following the rain-marred 2011 season. Record-sized crop with many stars; a solid vintage across the board marked by a tannic spine that will age well",
2011,Napa,Cabernet,86,,,86,"Rare rainy harvest proved it can happen; few sunny spots, variable quality",
2010,Napa,Cabernet,96,,,96,"Cool, steady year; wines show exceptional quality, tight, dense and layered",
2009,Napa,Cabernet,96,,,96,"Late, cool year yielding a surprise bounty of pure, opulent wines",
2008,Napa,Cabernet,96,,,96,Frost year lowered yields but not quality; unique for its depth and concentration,
2007,Napa,Cabernet,97,,,97,"Textbook year; small crop, ideal ripening, wines defined by complexity and plush tannins",
2006,Napa,Cabernet,95,,,95,"A late, cool harvest produced dense, concentrated and ageworthy wines",
2005,Napa,Cabernet,92,,,92,"Record-size crop; best are elegant and balanced, yet many are tannic and drying out",
2004,Napa,Cabernet,95,,,95,"Small crop of exceptional quality; ripe, elegant, concentrated and harmonious",
2003,Napa,Cabernet,85,,,85,Uneven ripeness; austere and tannic in style. More like 2000 than 2001 or 2002,
2002,Napa,Cabernet,93,,,93,"Superb in Napa; dense and rich, rivaling 2001 for depth and complexity",
2001,Napa,Cabernet,93,,,93,Excellent weather; many stunning wines but also a few disappointments,
2000,Napa,Cabernet,85,,,85,"Mixed and a bit green overall, but some stellar wines that may be overlooked and undervalued",
1999,Napa,Cabernet,97,,,97,"Tremendous depth, concentration and structure from a cool, moderate year; ageworthy",
1998,Napa,Cabernet,84,,,84,"Cool, damp year with mostly green, herbal wines marked by gritty tannins; few memorable bottles",
1997,Napa,Cabernet,99,,,99,"Huge crop of ripe, opulent, fleshy, concentrated wines, from near-perfect weather; super in Sonoma, too",
1996,Napa,Cabernet,96,,,96,"A sleeper, with a remarkable number of compelling wines; warm year with fine concentration and depth",
1995,Napa,Cabernet,97,,,97,"Surprisingly fine year, with wines marked by great flavors, balance and structure",
1994,Napa,Cabernet,97,,,97,"A showy year all around; ripe, complex and fleshy, with excellent depth",
1993,Napa,Cabernet,88,,,88,"Just off the pace, with well-balanced, supple wines; a few stars",
1992,Napa,Cabernet,93,,,93,"Fine growing season led to uniformly rich, fleshy, supple and balanced wines",
1991,Napa,Cabernet,91,,,91,"Big crop, ripe and complex; a star early on, only to be eclipsed by others this decade",
2018,Sonoma,Cabernet,94,,,94,,
2017,Sonoma,Cabernet,90,,,90,,
2016,Sonoma,Cabernet,95,,,95,,
2015,Sonoma,Cabernet,95,,,95,,
2014,Sonoma,Cabernet,94,,,94,,
2013,Sonoma,Cabernet,95,,,95,,
2012,Sonoma,Cabernet,95,,,95,,
2011,Sonoma,Cabernet,89,,,89,,
2010,Sonoma,Cabernet,89,,,89,,
2009,Sonoma,Cabernet,89,,,89,,
2008,Sonoma,Cabernet,92,,,92,,
2007,Sonoma,Cabernet,95,,,95,,
2006,Sonoma,Cabernet,90,,,90,,
2005,Sonoma,Cabernet,95,,,95,,
2004,Sonoma,Cabernet,90,,,90,,
2003,Sonoma,Cabernet,90,,,90,,
2002,Sonoma,Cabernet,93,,,93,,
2001,Sonoma,Cabernet,98,,,98,,
2000,Sonoma,Cabernet,85,,,85,,
1999,Sonoma,Cabernet,93,,,93,,
1998,Sonoma,Cabernet,85,,,85,,
1997,Sonoma,Cabernet,96,,,96,,
1996,Sonoma,Cabernet,93,,,93,,
1995,Sonoma,Cabernet,95,,,95,,
2018,Napa,Chardonnay,90,,,90,Nearly ideal conditions delivered wines with concentrated fruit flavors and crunchy acidity,
2017,Napa,Chardonnay,90,,,90,Ample winter rain followed by a warm growing season yielded complex and powerful wines,
2016,Napa,Chardonnay,89,,,89,Solid but variable year; fine quality in Sonoma and Santa Barbara,
2015,Napa,Chardonnay,89,,,89,Sonoma strong again in another drought year; elegant and refined in style,
2014,Napa,Chardonnay,92,,,92,"Drought produced spartan crop; fine quality, with yields the only disappointment",
2013,Napa,Chardonnay,93,,,93,"An exceptional year, distinct for vibrancy and density; ageworthy",
2012,Napa,Chardonnay,94,,,94,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",
2011,Napa,Chardonnay,89,,,89,"Cool and damp, challenging everywhere; best wines are elegant and scaled back",
2010,Napa,Chardonnay,92,,,92,Cool year resulted in uneven quality; best wines are tight and concentrated,
2009,Napa,Chardonnay,94,,,94,"Cooler year showing toned-down ripeness, with more finesse and delicacy",
2008,Napa,Chardonnay,92,,,92,"Frost and fire didn't spoil the vintage, though quality is variable. Tight, concentrated wines",
2007,Napa,Chardonnay,95,,,95,"Ripe, complex, balanced and ageworthy wines; many brilliant bottles from all appellations",
2006,Napa,Chardonnay,88,,,88,"Challenging harvest with mixed quality and fewer gems, but hardly a washout",
2005,Napa,Chardonnay,89,,,89,"Restrained wines; trim and tight, with higher acidity",
2004,Napa,Chardonnay,92,,,92,"Sonoma stars in a ripe, rich, opulent year that rivals 2002",
2003,Napa,Chardonnay,89,,,89,"Leaner, crisper wines than in '02 due to a challenging season, but some gems, too",
2002,Napa,Chardonnay,94,,,94,"Sensational, fleshy, opulent wines; near perfect in Sonoma, strong in Carneros and Napa",
2001,Napa,Chardonnay,87,,,87,"Best in Carneros and Sonoma; concentrated, with firm acidity",
2000,Napa,Chardonnay,87,,,87,Carneros the clear star; wines elsewhere lack depth and completeness,
1999,Napa,Chardonnay,87,,,87,"Sonoma and Santa Barbara are tops, with rich, complex wines",
1998,Napa,Chardonnay,84,,,84,Lean and austere statewide; highly variable,
1997,Napa,Chardonnay,96,,,96,"Monumental year; very ripe, opulent and complex",
1996,Napa,Chardonnay,95,,,95,Rivals '97 in opulence and concentration; great finesse,
2018,Sonoma,Chardonnay,95,93,,94,,
2017,Sonoma,Chardonnay,93,90,,91.5,,
2016,Sonoma,Chardonnay,90,94,,92,,
2015,Sonoma,Chardonnay,90,90,,90,,
2014,Sonoma,Chardonnay,92,92,,92,,
2013,Sonoma,Chardonnay,93,91,,92,,
2012,Sonoma,Chardonnay,93,91,,92,,
2011,Sonoma,Chardonnay,87,87,,87,,
2010,Sonoma,Chardonnay,92,87,,89.5,,
2009,Sonoma,Chardonnay,95,88,,91.5,,
2008,Sonoma,Chardonnay,91,87,,89,,
2007,Sonoma,Chardonnay,96,90,,93,,
2006,Sonoma,Chardonnay,94,86,,90,,
2005,Sonoma,Chardonnay,95,86,,90.5,,
2004,Sonoma,Chardonnay,99,85,,92,,
2003,Sonoma,Chardonnay,88,85,,86.5,,
2002,Sonoma,Chardonnay,99,90,,94.5,,
2001,Sonoma,Chardonnay,94,90,,92,,
2000,Sonoma,Chardonnay,89,88,,88.5,,
1999,Sonoma,Chardonnay,94,88,,91,,
1998,Sonoma,Chardonnay,86,87,,86.5,,
1997,Sonoma,Chardonnay,95,94,,94.5,,
1996,Sonoma,Chardonnay,95,90,,92.5,,
1995,Sonoma,Chardonnay,,92,,92,,
2017,Napa,Rhône-Style Reds,89.5,,,89.5,,"WS_Napa, 88-91 (value is mean), WE_Sonoma, 88-91 (value is mean)"
2016,Napa,Rhône-Style Reds,94,,,94,,
2015,Napa,Rhône-Style Reds,94,,,94,,
2014,Napa,Rhône-Style Reds,93,,,93,,
2013,Napa,Rhône-Style Reds,94,,,94,,
2012,Napa,Rhône-Style Reds,93,,,93,,
2011,Napa,Rhône-Style Reds,87,,,87,,
2010,Napa,Rhône-Style Reds,93,,,93,,
2009,Napa,Rhône-Style Reds,92,,,92,,
2008,Napa,Rhône-Style Reds,91,,,91,,
2007,Napa,Rhône-Style Reds,95,,,95,,
2006,Napa,Rhône-Style Reds,93,,,93,,
2005,Napa,Rhône-Style Reds,92,,,92,,
2004,Napa,Rhône-Style Reds,97,,,97,,
